Booking ID,Cancelled Rides by Customer Reason,Cancelled Rides by Driver Reason,Incomplete Ride Reason
BKG027485,Driver asked to cancel,,
BKG027489,,,Vehicle Breakdown
BKG027490,,Personal & Car related issues,
BKG027494,,,Vehicle Breakdown
BKG027495,,The customer was coughing/sick,
BKG027500,,,Other Issue
BKG027504,,,Other Issue
BKG027509,,,Vehicle Breakdown
BKG027510,,Customer related issue,
BKG027511,,,Other Issue
BKG027513,AC is not working,,
BKG027514,,More than permitted people in there,
BKG027518,,,Other Issue
BKG027520,AC is not working,,
BKG027522,Driver asked to cancel,,
BKG027524,,,Vehicle Breakdown
BKG027525,,The customer was coughing/sick,
BKG027528,Driver is not moving towards pickup location,,
BKG027532,,Personal & Car related issues,
BKG027533,,The customer was coughing/sick,
BKG027534,,More than permitted people in there,
BKG027541,,,Vehicle Breakdown
BKG027542,,More than permitted people in there,
BKG027543,,,Other Issue
BKG027545,AC is not working,,
BKG027550,AC is not working,,
BKG027551,,Personal & Car related issues,
BKG027552,,,Customer Demand
BKG027554,AC is not working,,
BKG027559,,Personal & Car related issues,
BKG027560,,,Customer Demand
BKG027561,,More than permitted people in there,
BKG027562,,The customer was coughing/sick,
BKG027564,Change of plans,,
BKG027568,,The customer was coughing/sick,
BKG027569,,,Other Issue
BKG027570,,Customer related issue,
BKG027571,,Customer related issue,
BKG027576,,,Customer Demand
BKG027577,,The customer was coughing/sick,
BKG027578,,,Customer Demand
BKG027584,,Customer related issue,
BKG027585,,The customer was coughing/sick,
BKG027589,,More than permitted people in there,
BKG027590,,,Customer Demand
BKG027594,,,Vehicle Breakdown
BKG027595,,More than permitted people in there,
BKG027596,,Personal & Car related issues,
BKG027599,AC is not working,,
BKG027604,,The customer was coughing/sick,
BKG027605,Driver is not moving towards pickup location,,
BKG027608,,Personal & Car related issues,
BKG027609,,The customer was coughing/sick,
BKG027614,,The customer was coughing/sick,
BKG027617,Change of plans,,
BKG027620,,The customer was coughing/sick,
BKG027621,,,Vehicle Breakdown
BKG027627,Driver is not moving towards pickup location,,
BKG027630,,,Vehicle Breakdown
BKG027633,AC is not working,,
BKG027635,AC is not working,,
BKG027637,,,Other Issue
BKG027638,,Personal & Car related issues,
BKG027639,,Customer related issue,
BKG027640,,The customer was coughing/sick,
BKG027641,,,Customer Demand
BKG027643,Wrong Address,,
BKG027650,,Customer related issue,
BKG027651,,Personal & Car related issues,
BKG027652,,The customer was coughing/sick,
BKG027653,,More than permitted people in there,
BKG027657,Wrong Address,,
BKG027658,AC is not working,,
BKG027662,,,Customer Demand
BKG027664,,The customer was coughing/sick,
BKG027665,,More than permitted people in there,
BKG027675,,Customer related issue,
BKG027676,,The customer was coughing/sick,
BKG027677,,,Other Issue
BKG027678,,More than permitted people in there,
BKG027681,,,Customer Demand
BKG027682,,Customer related issue,
BKG027691,,The customer was coughing/sick,
BKG027692,,,Vehicle Breakdown
BKG027693,,More than permitted people in there,
BKG027694,,The customer was coughing/sick,
BKG027696,Change of plans,,
BKG027699,,More than permitted people in there,
BKG027700,,Personal & Car related issues,
BKG027701,,,Vehicle Breakdown
BKG027706,AC is not working,,
BKG027707,,Customer related issue,
BKG027709,Wrong Address,,
BKG027710,,More than permitted people in there,
BKG027711,,Personal & Car related issues,
BKG027712,,,Customer Demand
BKG027713,,Customer related issue,
BKG027714,Driver is not moving towards pickup location,,
BKG027716,Driver is not moving towards pickup location,,
BKG027720,,Customer related issue,
BKG027721,,More than permitted people in there,
BKG027722,,More than permitted people in there,
BKG027723,,The customer was coughing/sick,
BKG027727,,,Customer Demand
BKG027728,,Customer related issue,
BKG027736,,Personal & Car related issues,
BKG027737,,,Vehicle Breakdown
BKG027738,,Personal & Car related issues,
BKG027739,,,Customer Demand
BKG027740,,More than permitted people in there,
BKG027741,,Personal & Car related issues,
BKG027742,Driver asked to cancel,,
BKG027747,,,Customer Demand
BKG027748,,,Vehicle Breakdown
BKG027749,,,Customer Demand
BKG027755,,,Vehicle Breakdown
BKG027756,,More than permitted people in there,
BKG027757,,Customer related issue,
BKG027758,,,Other Issue
BKG027759,,Personal & Car related issues,
BKG027764,,Customer related issue,
BKG027765,,More than permitted people in there,
BKG027767,,The customer was coughing/sick,
BKG027768,,The customer was coughing/sick,
BKG027773,,,Customer Demand
BKG027774,,The customer was coughing/sick,
BKG027775,,Customer related issue,
BKG027776,,The customer was coughing/sick,
BKG027782,,Personal & Car related issues,
BKG027783,,Customer related issue,
BKG027784,,,Vehicle Breakdown
BKG027788,,The customer was coughing/sick,
BKG027793,,More than permitted people in there,
BKG027794,Wrong Address,,
BKG027796,,Customer related issue,
BKG027797,,More than permitted people in there,
BKG027799,Wrong Address,,
BKG027802,,,Other Issue
BKG027803,,,Other Issue
BKG027804,,,Vehicle Breakdown
BKG027805,,More than permitted people in there,
BKG027806,Driver asked to cancel,,
BKG027812,,The customer was coughing/sick,
BKG027813,,,Other Issue
BKG027814,,More than permitted people in there,
BKG027815,,Customer related issue,
BKG027816,,Personal & Car related issues,
BKG027817,,,Customer Demand
BKG027821,,More than permitted people in there,
BKG027822,,Personal & Car related issues,
BKG027823,,,Vehicle Breakdown
BKG027824,,More than permitted people in there,
BKG027825,,The customer was coughing/sick,
BKG027827,,Customer related issue,
BKG027830,Change of plans,,
BKG027834,,More than permitted people in there,
BKG027835,,,Other Issue
BKG027836,,,Vehicle Breakdown
BKG027837,,Personal & Car related issues,
BKG027838,,Customer related issue,
BKG027839,,,Other Issue
BKG027840,,The customer was coughing/sick,
BKG027844,Driver is not moving towards pickup location,,
BKG027845,,The customer was coughing/sick,
BKG027847,,,Customer Demand
BKG027848,,More than permitted people in there,
BKG027849,,The customer was coughing/sick,
BKG027850,,,Other Issue
BKG027851,,Personal & Car related issues,
BKG027853,,Personal & Car related issues,
BKG027854,,Personal & Car related issues,
BKG027860,,The customer was coughing/sick,
BKG027864,AC is not working,,
BKG027869,,More than permitted people in there,
BKG027870,,,Customer Demand
BKG027871,,,Vehicle Breakdown
BKG027872,,,Other Issue
BKG027875,Driver asked to cancel,,
BKG027877,,,Customer Demand
BKG027878,,Customer related issue,
BKG027879,,More than permitted people in there,
BKG027880,,Customer related issue,
BKG027881,,More than permitted people in there,
BKG027883,Driver asked to cancel,,
BKG027887,AC is not working,,
BKG027889,,Personal & Car related issues,
BKG027898,,More than permitted people in there,
BKG027899,,,Vehicle Breakdown
BKG027900,,Customer related issue,
BKG027911,,,Other Issue
BKG027912,,,Customer Demand
BKG027918,Driver asked to cancel,,
BKG027919,,The customer was coughing/sick,
BKG027920,,The customer was coughing/sick,
BKG027921,,More than permitted people in there,
BKG027923,,,Vehicle Breakdown
BKG027924,,Customer related issue,
BKG027929,,,Other Issue
BKG027937,,,Vehicle Breakdown
BKG027938,,Personal & Car related issues,
BKG027939,,Personal & Car related issues,
BKG027940,,The customer was coughing/sick,
BKG027942,,The customer was coughing/sick,
BKG027943,,More than permitted people in there,
BKG027950,,,Customer Demand
BKG027956,,,Customer Demand
BKG027957,,Personal & Car related issues,
BKG027958,,The customer was coughing/sick,
BKG027963,,More than permitted people in there,
BKG027964,Wrong Address,,
BKG027967,Wrong Address,,
BKG027970,,More than permitted people in there,
BKG027971,,,Other Issue
BKG027975,,Customer related issue,
BKG027979,,Personal & Car related issues,
BKG027980,,More than permitted people in there,
BKG027981,,More than permitted people in there,
BKG027982,,The customer was coughing/sick,
BKG027983,,Personal & Car related issues,
BKG027984,,,Vehicle Breakdown
BKG027986,Change of plans,,
BKG027988,,,Vehicle Breakdown
BKG027989,,The customer was coughing/sick,
BKG027990,,Customer related issue,
BKG027994,Change of plans,,
BKG027995,,The customer was coughing/sick,
BKG027996,,,Other Issue
BKG027997,,Customer related issue,
BKG027998,,Customer related issue,
BKG027999,,,Other Issue
BKG028004,Wrong Address,,
BKG028005,,Customer related issue,
BKG028006,,Customer related issue,
BKG028007,AC is not working,,
BKG028009,,,Other Issue
BKG028010,,Personal & Car related issues,
BKG028011,,,Vehicle Breakdown
BKG028014,AC is not working,,
BKG028016,,,Vehicle Breakdown
BKG028017,,,Vehicle Breakdown
BKG028018,,,Customer Demand
BKG028020,Wrong Address,,
BKG028023,AC is not working,,
BKG028026,,More than permitted people in there,
BKG028027,,Customer related issue,
BKG028028,,Personal & Car related issues,
BKG028036,,Personal & Car related issues,
BKG028043,,More than permitted people in there,
BKG028044,,Personal & Car related issues,
BKG028045,,,Vehicle Breakdown
BKG028051,,Customer related issue,
BKG028052,,,Customer Demand
BKG028053,,Personal & Car related issues,
BKG028059,,The customer was coughing/sick,
BKG028060,,More than permitted people in there,
BKG028061,,Personal & Car related issues,
BKG028062,,The customer was coughing/sick,
BKG028064,,Customer related issue,
BKG028065,,Customer related issue,
BKG028069,Driver is not moving towards pickup location,,
BKG028071,,,Customer Demand
BKG028072,,,Customer Demand
BKG028073,,Customer related issue,
BKG028074,,Customer related issue,
BKG028075,,,Customer Demand
BKG028078,Wrong Address,,
BKG028079,AC is not working,,
BKG028080,,,Other Issue
BKG028082,,,Vehicle Breakdown
BKG028083,,,Customer Demand
BKG028086,AC is not working,,
BKG028087,Driver is not moving towards pickup location,,
BKG028089,,Customer related issue,
BKG028090,,,Other Issue
BKG028098,,Personal & Car related issues,
BKG028099,,,Other Issue
BKG028102,Wrong Address,,
BKG028108,,,Customer Demand
BKG028129,,The customer was coughing/sick,
BKG028130,,,Customer Demand
BKG028131,,Customer related issue,
BKG028132,Change of plans,,
BKG028137,Wrong Address,,
BKG028142,,Customer related issue,
BKG028143,,Customer related issue,
BKG028144,,More than permitted people in there,
BKG028145,,,Other Issue
BKG028146,,More than permitted people in there,
BKG028147,,Personal & Car related issues,
BKG028148,,,Other Issue
BKG028154,Driver asked to cancel,,
BKG028160,,,Vehicle Breakdown
BKG028161,,,Customer Demand
BKG028162,,,Customer Demand
BKG028169,,,Customer Demand
BKG028170,,Customer related issue,
BKG028171,,,Vehicle Breakdown
BKG028177,,,Vehicle Breakdown
BKG028180,AC is not working,,
BKG028192,,The customer was coughing/sick,
BKG028193,,Personal & Car related issues,
BKG028194,,Customer related issue,
BKG028199,Driver asked to cancel,,
BKG028204,,More than permitted people in there,
BKG028205,,The customer was coughing/sick,
BKG028206,,More than permitted people in there,
BKG028210,,,Customer Demand
BKG028211,,More than permitted people in there,
BKG028212,,Personal & Car related issues,
BKG028224,Wrong Address,,
BKG028228,,,Other Issue
BKG028229,,More than permitted people in there,
BKG028230,,,Other Issue
BKG028231,,,Customer Demand
BKG028232,Change of plans,,
BKG028233,Driver is not moving towards pickup location,,
BKG028239,,,Other Issue
BKG028243,Driver is not moving towards pickup location,,
BKG028250,Driver is not moving towards pickup location,,
BKG028251,,Customer related issue,
BKG028258,AC is not working,,
BKG028259,,Personal & Car related issues,
BKG028266,,The customer was coughing/sick,
BKG028267,,The customer was coughing/sick,
BKG028271,Driver asked to cancel,,
BKG028277,,More than permitted people in there,
BKG028278,,,Customer Demand
BKG028284,,Personal & Car related issues,
BKG028289,,,Customer Demand
BKG028290,,Customer related issue,
BKG028291,,,Other Issue
BKG028292,,,Vehicle Breakdown
BKG028296,Change of plans,,
BKG028298,,Customer related issue,
BKG028299,,,Other Issue
BKG028300,Change of plans,,
BKG028307,,,Other Issue
BKG028311,Driver is not moving towards pickup location,,
BKG028314,Wrong Address,,
BKG028315,,Customer related issue,
BKG028316,,,Customer Demand
BKG028317,,Personal & Car related issues,
BKG028318,,,Other Issue
BKG028319,,More than permitted people in there,
BKG028326,,Personal & Car related issues,
BKG028327,,,Vehicle Breakdown
BKG028330,Driver is not moving towards pickup location,,
BKG028333,Driver asked to cancel,,
BKG028334,,More than permitted people in there,
BKG028335,,More than permitted people in there,
BKG028336,,Personal & Car related issues,
BKG028341,Driver is not moving towards pickup location,,
BKG028342,Driver asked to cancel,,
BKG028345,,Personal & Car related issues,
BKG028346,,The customer was coughing/sick,
BKG028347,,The customer was coughing/sick,
BKG028351,Driver asked to cancel,,
BKG028353,,More than permitted people in there,
BKG028357,,,Vehicle Breakdown
BKG028358,,The customer was coughing/sick,
BKG028359,Driver asked to cancel,,
BKG028369,Change of plans,,
BKG028373,,The customer was coughing/sick,
BKG028374,AC is not working,,
BKG028375,AC is not working,,
BKG028379,AC is not working,,
BKG028380,,,Customer Demand
BKG028381,,The customer was coughing/sick,
BKG028382,,,Other Issue
BKG028386,,Customer related issue,
BKG028392,,,Vehicle Breakdown
BKG028393,,,Vehicle Breakdown
BKG028399,,,Other Issue
BKG028405,,The customer was coughing/sick,
BKG028406,,,Other Issue
BKG028407,,,Customer Demand
BKG028408,,Customer related issue,
BKG028415,Change of plans,,
BKG028416,,,Customer Demand
BKG028430,Wrong Address,,
BKG028432,Wrong Address,,
BKG028435,,,Customer Demand
BKG028436,,Personal & Car related issues,
BKG028440,,Personal & Car related issues,
BKG028446,,More than permitted people in there,
BKG028447,,Customer related issue,
BKG028448,,More than permitted people in there,
BKG028453,,The customer was coughing/sick,
BKG028454,,Personal & Car related issues,
BKG028459,Driver asked to cancel,,
BKG028460,Wrong Address,,
BKG028467,,More than permitted people in there,
BKG028475,,Personal & Car related issues,
BKG028476,,Personal & Car related issues,
BKG028477,,More than permitted people in there,
BKG028478,,Customer related issue,
BKG028484,,,Customer Demand
BKG028485,,,Vehicle Breakdown
BKG028491,,,Other Issue
BKG028492,,Customer related issue,
BKG028493,,Customer related issue,
BKG028494,,Customer related issue,
BKG028495,,Customer related issue,
BKG028502,,Customer related issue,
BKG028516,,,Other Issue
BKG028517,Driver is not moving towards pickup location,,
BKG028532,,,Customer Demand
BKG028533,,The customer was coughing/sick,
BKG028535,Wrong Address,,
BKG028536,Wrong Address,,
BKG028538,,,Other Issue
BKG028539,,More than permitted people in there,
BKG028544,,,Customer Demand
BKG028552,,More than permitted people in there,
BKG028553,,The customer was coughing/sick,
BKG028554,,Personal & Car related issues,
BKG028558,Driver is not moving towards pickup location,,
BKG028564,Wrong Address,,
BKG028565,,,Customer Demand
BKG028566,,More than permitted people in there,
BKG028574,,,Customer Demand
BKG028575,,The customer was coughing/sick,
BKG028576,,,Other Issue
BKG028577,,,Customer Demand
BKG028578,,,Other Issue
BKG028584,,More than permitted people in there,
BKG028585,,More than permitted people in there,
BKG028595,,Customer related issue,
BKG028596,,,Vehicle Breakdown
BKG028597,,Customer related issue,
BKG028598,,More than permitted people in there,
BKG028599,,The customer was coughing/sick,
BKG028605,,More than permitted people in there,
BKG028610,,Personal & Car related issues,
BKG028611,,The customer was coughing/sick,
BKG028612,,More than permitted people in there,
BKG028613,,The customer was coughing/sick,
BKG028614,,Personal & Car related issues,
BKG028615,,The customer was coughing/sick,
BKG028616,Change of plans,,
BKG028617,AC is not working,,
BKG028622,,Customer related issue,
BKG028623,,,Vehicle Breakdown
BKG028628,Wrong Address,,
BKG028630,Change of plans,,
BKG028637,,More than permitted people in there,
BKG028642,,,Customer Demand
BKG028651,,Customer related issue,
BKG028652,,More than permitted people in there,
BKG028653,,Customer related issue,
BKG028654,,,Other Issue
BKG028657,,More than permitted people in there,
BKG028658,,,Vehicle Breakdown
BKG028664,,,Other Issue
BKG028665,,Personal & Car related issues,
BKG028666,,,Customer Demand
BKG028667,,More than permitted people in there,
BKG028668,,,Other Issue
BKG028677,,,Other Issue
BKG028678,,,Customer Demand
BKG028679,Wrong Address,,
BKG028685,,,Vehicle Breakdown
BKG028686,,The customer was coughing/sick,
BKG028687,,The customer was coughing/sick,
BKG028691,Change of plans,,
BKG028693,,,Vehicle Breakdown
BKG028694,,,Other Issue
BKG028702,,,Other Issue
BKG028703,Wrong Address,,
BKG028707,,Personal & Car related issues,
BKG028714,,,Vehicle Breakdown
BKG028715,,The customer was coughing/sick,
BKG028716,,,Other Issue
BKG028722,,,Vehicle Breakdown
BKG028723,,,Other Issue
BKG028728,,,Other Issue
BKG028729,,Customer related issue,
BKG028730,,,Other Issue
BKG028731,,More than permitted people in there,
BKG028733,AC is not working,,
BKG028736,,Personal & Car related issues,
BKG028737,,,Vehicle Breakdown
BKG028741,,More than permitted people in there,
BKG028742,,Customer related issue,
BKG028745,,More than permitted people in there,
BKG028749,,The customer was coughing/sick,
BKG028750,,The customer was coughing/sick,
BKG028757,,,Customer Demand
BKG028762,,,Other Issue
BKG028764,Change of plans,,
BKG028765,,Personal & Car related issues,
BKG028773,,Personal & Car related issues,
BKG028774,,The customer was coughing/sick,
BKG028775,Driver is not moving towards pickup location,,
BKG028778,AC is not working,,
BKG028779,Wrong Address,,
BKG028781,,,Vehicle Breakdown
BKG028782,,Customer related issue,
BKG028783,,The customer was coughing/sick,
BKG028784,,Personal & Car related issues,
BKG028791,,The customer was coughing/sick,
BKG028800,,Customer related issue,
BKG028801,,,Other Issue
BKG028802,,Personal & Car related issues,
BKG028805,Wrong Address,,
BKG028807,,More than permitted people in there,
BKG028811,,Personal & Car related issues,
BKG028812,,,Customer Demand
BKG028813,,The customer was coughing/sick,
BKG028815,,More than permitted people in there,
BKG028816,,,Vehicle Breakdown
BKG028817,,Customer related issue,
BKG028821,,,Other Issue
BKG028822,,,Other Issue
BKG028825,,Customer related issue,
BKG028828,,Personal & Car related issues,
BKG028829,,The customer was coughing/sick,
BKG028830,,Customer related issue,
BKG028831,,Personal & Car related issues,
BKG028832,Driver asked to cancel,,
BKG028834,AC is not working,,
BKG028838,Wrong Address,,
BKG028842,,,Other Issue
BKG028843,,,Other Issue
BKG028844,,Customer related issue,
BKG028845,,More than permitted people in there,
BKG028848,,More than permitted people in there,
BKG028849,,More than permitted people in there,
BKG028850,,,Other Issue
BKG028851,,,Other Issue
BKG028852,,Personal & Car related issues,
BKG028858,,,Other Issue
BKG028859,,,Other Issue
BKG028860,,,Other Issue
BKG028861,,Customer related issue,
BKG028862,,More than permitted people in there,
BKG028863,,More than permitted people in there,
BKG028864,,More than permitted people in there,
BKG028865,,More than permitted people in there,
BKG028867,Driver asked to cancel,,
BKG028869,,More than permitted people in there,
BKG028870,,,Other Issue
BKG028876,,More than permitted people in there,
BKG028877,,,Other Issue
BKG028878,,,Customer Demand
BKG028879,,,Other Issue
BKG028880,,,Other Issue
BKG028883,Wrong Address,,
BKG028886,,More than permitted people in there,
BKG028887,,,Customer Demand
BKG028892,,More than permitted people in there,
BKG028893,,,Vehicle Breakdown
BKG028894,,,Customer Demand
BKG028895,,More than permitted people in there,
BKG028896,,,Vehicle Breakdown
BKG028897,,More than permitted people in there,
BKG028903,,,Vehicle Breakdown
BKG028904,,Customer related issue,
BKG028905,,More than permitted people in there,
BKG028910,,More than permitted people in there,
BKG028911,,Personal & Car related issues,
BKG028912,,Customer related issue,
BKG028913,,,Customer Demand
BKG028914,,,Vehicle Breakdown
BKG028918,,Customer related issue,
BKG028919,,,Vehicle Breakdown
BKG028920,,Personal & Car related issues,
BKG028921,,,Vehicle Breakdown
BKG028925,,Personal & Car related issues,
BKG028926,,More than permitted people in there,
BKG028927,,Personal & Car related issues,
BKG028931,,The customer was coughing/sick,
BKG028934,,Personal & Car related issues,
BKG028942,Driver asked to cancel,,
BKG028945,,More than permitted people in there,
BKG028946,,,Customer Demand
BKG028947,,,Other Issue
BKG028948,,The customer was coughing/sick,
BKG028953,,,Customer Demand
BKG028954,,Personal & Car related issues,
BKG028960,,,Customer Demand
BKG028961,,The customer was coughing/sick,
BKG028962,,Customer related issue,
BKG028966,AC is not working,,
BKG028970,,The customer was coughing/sick,
BKG028971,,,Other Issue
BKG028978,,The customer was coughing/sick,
BKG028979,,The customer was coughing/sick,
BKG028980,,,Vehicle Breakdown
BKG028982,,,Vehicle Breakdown
BKG028983,,Customer related issue,
BKG028984,,,Customer Demand
BKG028988,,Customer related issue,
BKG028989,,More than permitted people in there,
BKG028990,,More than permitted people in there,
BKG028991,,More than permitted people in there,
BKG028992,,Customer related issue,
BKG028993,,Personal & Car related issues,
BKG028994,,,Vehicle Breakdown
BKG028995,,,Other Issue
BKG028998,Change of plans,,
BKG028999,,Personal & Car related issues,
BKG029000,,More than permitted people in there,
BKG029001,,Personal & Car related issues,
BKG029002,,Customer related issue,
BKG029003,,Personal & Car related issues,
BKG029004,,,Customer Demand
BKG029013,,,Customer Demand
BKG029014,,,Other Issue
BKG029016,,,Other Issue
BKG029017,,Customer related issue,
BKG029018,,The customer was coughing/sick,
BKG029019,,,Vehicle Breakdown
BKG029020,,The customer was coughing/sick,
BKG029021,,Customer related issue,
BKG029022,,Personal & Car related issues,
BKG029026,,,Customer Demand
BKG029028,,More than permitted people in there,
BKG029029,,Customer related issue,
BKG029030,,Personal & Car related issues,
BKG029031,,Personal & Car related issues,
BKG029038,Driver asked to cancel,,
BKG029047,,Personal & Car related issues,
BKG029048,,The customer was coughing/sick,
BKG029049,,Personal & Car related issues,
BKG029055,,Personal & Car related issues,
BKG029056,,,Other Issue
BKG029059,AC is not working,,
BKG029061,,More than permitted people in there,
BKG029062,,More than permitted people in there,
BKG029064,AC is not working,,
BKG029065,,Personal & Car related issues,
BKG029066,,The customer was coughing/sick,
BKG029070,,More than permitted people in there,
BKG029071,,,Other Issue
BKG029072,,Customer related issue,
BKG029073,,,Vehicle Breakdown
BKG029075,Driver asked to cancel,,
BKG029077,,More than permitted people in there,
BKG029078,,The customer was coughing/sick,
BKG029083,,,Customer Demand
BKG029084,,,Customer Demand
BKG029087,,,Other Issue
BKG029088,,Personal & Car related issues,
BKG029093,,,Customer Demand
BKG029095,Change of plans,,
BKG029098,,,Vehicle Breakdown
BKG029099,,More than permitted people in there,
BKG029103,,The customer was coughing/sick,
BKG029104,,The customer was coughing/sick,
BKG029105,,Customer related issue,
BKG029107,,,Vehicle Breakdown
BKG029108,,,Vehicle Breakdown
BKG029109,,Customer related issue,
BKG029110,,Personal & Car related issues,
BKG029114,,More than permitted people in there,
BKG029115,,,Other Issue
BKG029116,,The customer was coughing/sick,
BKG029117,,,Customer Demand
BKG029126,Driver is not moving towards pickup location,,
BKG029128,,,Other Issue
BKG029129,,Personal & Car related issues,
BKG029130,,Customer related issue,
BKG029136,,The customer was coughing/sick,
BKG029137,,Personal & Car related issues,
BKG029138,,,Customer Demand
BKG029140,Wrong Address,,
BKG029146,,Customer related issue,
BKG029147,,,Other Issue
BKG029155,Wrong Address,,
BKG029156,Driver is not moving towards pickup location,,
BKG029158,,More than permitted people in there,
BKG029159,,Personal & Car related issues,
BKG029160,,Customer related issue,
BKG029168,,More than permitted people in there,
BKG029169,,The customer was coughing/sick,
BKG029170,,Personal & Car related issues,
BKG029171,,,Other Issue
BKG029172,,More than permitted people in there,
BKG029173,,,Vehicle Breakdown
BKG029179,,Customer related issue,
BKG029180,,,Vehicle Breakdown
BKG029181,,,Vehicle Breakdown
BKG029185,,The customer was coughing/sick,
BKG029186,,The customer was coughing/sick,
BKG029187,,The customer was coughing/sick,
BKG029188,,The customer was coughing/sick,
BKG029189,,Personal & Car related issues,
BKG029192,,,Vehicle Breakdown
BKG029193,,Customer related issue,
BKG029196,,Personal & Car related issues,
BKG029199,,The customer was coughing/sick,
BKG029206,,Customer related issue,
BKG029207,,More than permitted people in there,
BKG029208,,The customer was coughing/sick,
BKG029209,,Personal & Car related issues,
BKG029215,,More than permitted people in there,
BKG029216,,,Customer Demand
BKG029223,Change of plans,,
BKG029228,Wrong Address,,
BKG029230,,Personal & Car related issues,
BKG029231,,,Customer Demand
BKG029232,,The customer was coughing/sick,
BKG029233,,,Other Issue
BKG029239,,More than permitted people in there,
BKG029240,,Customer related issue,
BKG029241,,More than permitted people in there,
BKG029245,,,Customer Demand
BKG029246,,More than permitted people in there,
BKG029250,Change of plans,,
BKG029254,Change of plans,,
BKG029255,Wrong Address,,
BKG029259,,Personal & Car related issues,
BKG029260,,,Vehicle Breakdown
BKG029278,,,Customer Demand
BKG029279,,The customer was coughing/sick,
BKG029280,Wrong Address,,
BKG029286,,,Vehicle Breakdown
BKG029287,,Customer related issue,
BKG029292,,,Customer Demand
BKG029293,,,Other Issue
BKG029296,,,Customer Demand
BKG029297,,,Customer Demand
BKG029298,,The customer was coughing/sick,
BKG029299,,,Vehicle Breakdown
BKG029301,Wrong Address,,
BKG029302,Driver asked to cancel,,
BKG029310,Wrong Address,,
BKG029311,,,Other Issue
BKG029312,,Personal & Car related issues,
BKG029314,Wrong Address,,
BKG029315,,The customer was coughing/sick,
BKG029320,,The customer was coughing/sick,
BKG029321,,,Customer Demand
BKG029324,,Customer related issue,
BKG029325,,,Vehicle Breakdown
BKG029327,Wrong Address,,
BKG029329,,The customer was coughing/sick,
BKG029335,,,Vehicle Breakdown
BKG029336,,,Vehicle Breakdown
BKG029337,,More than permitted people in there,
BKG029338,,,Customer Demand
BKG029345,,,Other Issue
BKG029349,,More than permitted people in there,
BKG029350,,Customer related issue,
BKG029351,,Personal & Car related issues,
BKG029352,,,Vehicle Breakdown
BKG029353,,Personal & Car related issues,
BKG029354,,The customer was coughing/sick,
BKG029356,Driver asked to cancel,,
BKG029357,Wrong Address,,
BKG029363,,,Other Issue
BKG029364,,Customer related issue,
BKG029365,,,Vehicle Breakdown
BKG029366,,,Customer Demand
BKG029375,,The customer was coughing/sick,
BKG029376,,,Customer Demand
BKG029377,,More than permitted people in there,
BKG029378,,More than permitted people in there,
BKG029379,,More than permitted people in there,
BKG029383,,Customer related issue,
BKG029384,,,Vehicle Breakdown
BKG029385,,More than permitted people in there,
BKG029387,,,Vehicle Breakdown
BKG029388,,More than permitted people in there,
BKG029389,,Customer related issue,
BKG029394,,Customer related issue,
BKG029397,AC is not working,,
BKG029399,,More than permitted people in there,
BKG029400,,Personal & Car related issues,
BKG029401,,,Other Issue
BKG029404,Driver asked to cancel,,
BKG029406,AC is not working,,
BKG029407,,More than permitted people in there,
BKG029416,Wrong Address,,
BKG029419,,,Other Issue
BKG029420,,Customer related issue,
BKG029421,,More than permitted people in there,
BKG029425,,Customer related issue,
BKG029439,,,Customer Demand
BKG029440,,,Vehicle Breakdown
BKG029441,,,Other Issue
BKG029442,,More than permitted people in there,
BKG029448,,The customer was coughing/sick,
BKG029457,,,Other Issue
BKG029458,,The customer was coughing/sick,
BKG029460,Driver is not moving towards pickup location,,
BKG029465,AC is not working,,
BKG029466,,,Vehicle Breakdown
BKG029467,,,Customer Demand
BKG029468,,,Vehicle Breakdown
BKG029469,,More than permitted people in there,
BKG029475,Wrong Address,,
BKG029476,,,Other Issue
BKG029479,,,Other Issue
BKG029482,AC is not working,,
BKG029486,,,Other Issue
BKG029487,,,Other Issue
BKG029488,,,Customer Demand
BKG029489,,The customer was coughing/sick,
BKG029492,,,Other Issue
BKG029493,,More than permitted people in there,
BKG029497,Driver is not moving towards pickup location,,
BKG029499,,More than permitted people in there,
BKG029500,,Customer related issue,
BKG029503,,The customer was coughing/sick,
BKG029508,,,Other Issue
BKG029517,,The customer was coughing/sick,
BKG029518,,,Vehicle Breakdown
BKG029520,,Personal & Car related issues,
BKG029521,,,Other Issue
BKG029530,,,Other Issue
BKG029531,,,Vehicle Breakdown
BKG029532,,More than permitted people in there,
BKG029533,,The customer was coughing/sick,
BKG029534,,,Other Issue
BKG029540,,More than permitted people in there,
BKG029541,,,Customer Demand
BKG029542,,More than permitted people in there,
BKG029544,,The customer was coughing/sick,
BKG029545,,Customer related issue,
BKG029549,,The customer was coughing/sick,
BKG029550,,,Customer Demand
BKG029551,,,Vehicle Breakdown
BKG029552,,,Other Issue
BKG029556,,,Other Issue
BKG029557,,The customer was coughing/sick,
BKG029558,,Personal & Car related issues,
BKG029563,,More than permitted people in there,
BKG029568,,More than permitted people in there,
BKG029569,,,Other Issue
BKG029570,,Personal & Car related issues,
BKG029577,Driver is not moving towards pickup location,,
BKG029579,,Personal & Car related issues,
BKG029583,,The customer was coughing/sick,
BKG029590,Driver asked to cancel,,
BKG029593,,Customer related issue,
BKG029598,,,Customer Demand
